# cav             pos     cav_amp_epics cav_phase_epics cav_amp_model cav_phase rf_gap_avg_phase phase_offset real_offset eKin_in  eKin_out  delta_eKin_in_out_keV bpm_eKin_out model_eKin_out delta_eKin_fit_keV  E0TL_MeV phi_EPICS
86 SCL_RF:Cav27a  185.863            15       -173.93         21.38  -114.993  -136.046  -136.557  -136.549        1053.3        1043.1        453.43        1043.1        1043.6    3.2       14.212 -173.9300
87 SCL_RF:Cav27b  187.310            15       -172.91         21.45  -124.159  -144.529  -145.096  -145.088        1043.1        1031.4       -11.715        1031.4          1032    3.3       14.274 -172.9100
88 SCL_RF:Cav27c  188.626            15       -171.92        21.526  -130.098  -149.697  -150.304  -150.296        1031.4          1019       -13.318          1019        1019.6    3.5       14.342 -171.9200
89 SCL_RF:Cav27d  190.073            15       -170.96        21.604  -133.757  -152.530  -153.169  -153.160          1019        1006.2       -14.619        1006.2        1006.8    3.7       14.411 -170.9600
90 SCL_RF:Cav28a  193.754            15       -173.93        21.584  -139.039  -156.933  -157.615  -157.606        1006.3        993.08        107.36        993.08        993.54    3.8       14.414 -173.9300
91 SCL_RF:Cav28b  195.201            15       -172.91        21.674  -136.200  -153.192  -153.880  -153.870        993.07        980.13       -16.871        980.13         980.6    3.9        14.49 -172.9100
92 SCL_RF:Cav28c  196.517            15       -171.92        21.763  -130.612  -146.717  -147.395  -147.385        980.11        967.93       -17.025        967.93        968.42    4.1       14.565 -171.9200
93 SCL_RF:Cav28d  197.964            15       -170.96        21.848  -121.249  -136.524  -137.164  -137.154        967.92         957.3       -16.583         957.3         957.8    4.2       14.634 -170.9600
94 SCL_RF:Cav29a  201.645            15       -173.93        21.805   -93.839  -108.519  -108.977  -108.967        957.26        952.63       -43.739        952.63        953.15    4.4       14.616 -173.9300
95 SCL_RF:Cav29b  203.092            15       -172.91        21.857   -79.788   -94.226   -94.585   -94.573        952.61        951.55       -10.876        951.55        952.07    4.5       14.654 -172.9100
96 SCL_RF:Cav29c  204.408            15       -171.92         21.89   -66.480   -80.934   -81.197   -81.187        951.54        953.86       -10.071        953.86        954.39    4.6       14.677 -171.9200
97 SCL_RF:Cav29d  205.855            15       -170.96        21.903   -52.329   -67.050   -67.219   -67.207        953.85        959.58       -10.488        959.58        960.11    4.5       14.684 -170.9600
98 SCL_RF:Cav30a  209.536            15       -173.93        21.763   -25.405   -40.678   -40.687   -40.677        959.25        970.32       -327.26        970.31        971.16    4.3       14.585 -173.9300
99 SCL_RF:Cav30b  210.983            15       -172.91        21.737   -15.043   -31.147   -31.127   -31.118         970.3        982.76       -16.378        982.76        983.61    4.2       14.558 -172.9100
100 SCL_RF:Cav30c  212.299            15       -171.92        21.704    -8.386   -25.381   -25.351   -25.341        982.74        995.86       -17.491        995.86        996.72    4.1       14.523 -171.9200
101 SCL_RF:Cav30d  213.746            15       -170.96        21.668    -4.610   -22.513   -22.479   -22.470        995.84        1009.2       -17.683        1009.2        1010.1    4.0       14.484 -170.9600
102 SCL_RF:Cav31a  217.427            15       -173.93         21.47   -10.243   -29.032   -28.940   -28.932        1008.2        1020.7       -1012.3        1020.7        1022.6    3.9       14.336 -173.9300
103 SCL_RF:Cav31b  218.874            15       -172.91        21.445   -12.921   -32.522   -32.439   -32.431        1020.7        1032.8       -16.265        1032.8        1034.7    3.7       14.303 -172.9100
104 SCL_RF:Cav31c  220.190            15       -171.92        21.423   -17.912   -38.271   -38.203   -38.195        1032.8          1044        -15.35          1044        1045.9    3.6       14.271 -171.9200
105 SCL_RF:Cav31d  221.637            15       -170.96        21.403   -26.319   -47.353   -47.312   -47.304          1044        1053.6       -14.112        1053.6        1055.5    3.5       14.241 -170.9600
106 SCL_RF:Cav32a  225.318            15       -173.93        21.155   -59.866   -81.338   -81.302   -81.295        1051.2        1053.4       -2396.9        1053.4        1057.6    3.8       14.065 -173.9300
107 SCL_RF:Cav32b  226.765            15       -172.91        21.176   -71.575   -93.110   -93.145   -93.137        1053.4        1052.7       -8.2123        1052.7        1056.8    3.8       14.076 -172.9100
108 SCL_RF:Cav32c  228.081            15       -171.92        21.207   -82.197  -103.624  -103.724  -103.717        1052.7        1049.4       -7.8532        1049.4        1053.5    3.7       14.098 -171.9200
109 SCL_RF:Cav32d  229.528            15       -170.96        21.248   -93.401  -114.558  -114.729  -114.721        1049.4        1043.6       -8.1918        1043.6        1047.7    3.7        14.13 -170.9600
